Order ID,Product,Quantity Ordered,Price Each,Order Date,Sales,City
241692,Lightning Charging Cable,2,14.95,26/08/2019 19:56,29.9, Boston
181615,AAA Batteries (4-pack),1,2.99,16/04/2019 18:10,2.99, Boston
198235,Apple Airpods Headphones,1,150,08/05/2019 21:28,150, San Francisco
232041,Lightning Charging Cable,1,14.95,20/07/2019 13:49,14.95, Dallas
192098,iPhone,1,700,11/04/2019 10:55,700, San Francisco
236720,Apple Airpods Headphones,1,150,24/08/2019 16:49,150, Dallas
152894,Apple Airpods Headphones,1,150,18/02/2019 15:03,150, San Francisco
262695,USB-C Charging Cable,1,11.95,25/10/2019 12:34,11.95, Los Angeles
226136,AAA Batteries (4-pack),1,2.99,28/07/2019 22:22,2.99, Los Angeles
271946,AAA Batteries (4-pack),1,2.99,03/10/2019 13:06,2.99, New York City
206312,Lightning Charging Cable,1,14.95,28/05/2019 16:16,14.95, New York City
243612,Lightning Charging Cable,1,14.95,16/08/2019 22:59,14.95, Boston
317353,AA Batteries (4-pack),1,3.84,13/12/2019 15:36,3.84, San Francisco
156202,Wired Headphones,1,11.99,20/02/2019 15:33,11.99, New York City
318589,Lightning Charging Cable,1,14.95,22/12/2019 16:02,14.95, New York City
312516,Wired Headphones,1,11.99,02/12/2019 23:56,11.99, New York City
143231,USB-C Charging Cable,1,11.95,19/01/2019 00:26,11.95, Los Angeles
262555,Lightning Charging Cable,1,14.95,23/10/2019 08:23,14.95, Austin
315879,34in Ultrawide Monitor,1,379.99,01/12/2019 18:03,379.99, Los Angeles
200705,Macbook Pro Laptop,1,1700,21/05/2019 05:53,1700, San Francisco
310712,20in Monitor,1,109.99,17/12/2019 20:39,109.99, San Francisco
290321,Bose SoundSport Headphones,1,99.99,18/11/2019 17:35,99.99, Portland
238088,Bose SoundSport Headphones,1,99.99,29/08/2019 20:19,99.99, Boston
301794,Apple Airpods Headphones,1,150,27/12/2019 16:32,150, Boston
218102,27in 4K Gaming Monitor,1,389.99,03/06/2019 14:22,389.99, Portland
181982,Apple Airpods Headphones,2,150,22/04/2019 22:51,300, San Francisco
198530,USB-C Charging Cable,1,11.95,04/05/2019 13:13,11.95, San Francisco
230438,27in FHD Monitor,1,149.99,10/07/2019 15:27,149.99, Dallas
152978,Macbook Pro Laptop,1,1700,07/02/2019 12:53,1700, Los Angeles
273676,AA Batteries (4-pack),4,3.84,07/10/2019 13:14,15.36, Boston
143819,USB-C Charging Cable,1,11.95,22/01/2019 00:26,11.95, Los Angeles
262346,Apple Airpods Headphones,1,150,10/10/2019 15:26,150, New York City
169813,AA Batteries (4-pack),1,3.84,31/03/2019 05:21,3.84, Atlanta
208632,Vareebadd Phone,1,400,14/05/2019 18:58,400, San Francisco
317450,Lightning Charging Cable,1,14.95,22/12/2019 12:59,14.95, San Francisco
274809,AAA Batteries (4-pack),1,2.99,01/10/2019 14:19,2.99, Seattle
